id_bien;No voie;B/T/Q;Type de voie;Voie;Nombre pieces principales;Surface Carrez du 1er lot;Surface reelle bati;Type local;code_dep_com
11758;14;;AV;THEOPHILE GAUTIER;4;112.04;115;Appartement;75116
11759;9;;AV;ALPHONSE XIII;2;41.38;41;Appartement;75116
11760;6;;RUE;EUGENE LABICHE;5;168.1;170;Appartement;75116
11761;3;;AV;FOCH;1;33.6;20;Appartement;75116
11762;25;;AV;DE WAGRAM;2;80.6;77;Appartement;75117
11763;32;;RUE;DES RENAUDES;3;68.22;73;Appartement;75117
11764;65;;RUE;DE TOCQUEVILLE;3;38.38;38;Appartement;75117
11765;138;;RUE;CARDINET;2;36.06;38;Appartement;75117
11766;93;;RUE;LA CONDAMINE;1;12.65;12;Appartement;75117
11767;40;;RUE;GAUTHEY;2;27.33;25;Appartement;75117
11768;53;;AV;DE SAINT OUEN;2;33.0;33;Appartement;75117
11769;11;;RUE;CAPITAINE MADON;1;25.1;27;Appartement;75118
11770;30;;RUE;VERON;3;37.33;37;Appartement;75118
11771;93;;RUE;CAULAINCOURT;1;18.66;19;Appartement;75118
11772;5;;RUE;TARDIEU;2;33.0;29;Appartement;75118
11773;33;;RUE;POULET;1;16.3;14;Appartement;75118
11774;14;;PAS;RAMEY;2;47.5;44;Appartement;75118
11775;49;;RUE;MARCADET;2;14.42;25;Appartement;75118
11776;5;;RUE;LALLY TOLLENDAL;1;17.8;9;Appartement;75119
11777;82;;QUAI;DE LA LOIRE;1;27.55;29;Appartement;75119
11778;21;;RUE;DE THIONVILLE;4;84.34;74;Appartement;75119
11779;12;;RUE;PRADIER;2;24.65;26;Appartement;75119
11780;30;;RUE;CAVENDISH;3;51.87;53;Appartement;75119
11781;2;B;RUE;ETIENNE MAREY;2;63.78;58;Appartement;75120
11782;9;;RUE;DE LA CR DES NOUES;2;25.02;23;Appartement;75120
11783;12;;VLA;STENDHAL;1;17.14;18;Appartement;75120
11784;11;;SQ;VITRUVE;2;50.21;51;Appartement;75120
11785;18;;SQ;MAUPASSANT;3;64.18;65;Appartement;76259
11786;1;B;RUE;JOSEPH FINANCE;2;43.08;43;Appartement;76312
11787;116;;AV;RENE COTY;3;58.4;63;Appartement;76351
11788;58;;RUE;BOUGAINVILLE;5;151.54;130;Maison;76351
11789;15;;ALL;EUGENE LABICHE;3;70.95;70;Appartement;76351
11790;44;;RUE;DE MAGNY;3;54.59;55;Appartement;77018
11791;2;;RUE;CHRISTOPHE;4;84.28;84;Appartement;77058
11792;7;B;AV;CHARLES MONIER;3;65.0;65;Appartement;77067
11793;42;D;RUE;DES DEUX JUMEAUX;2;38.93;40;Appartement;77094
11794;3;B;RUE;DU HUIT MAI 1945;2;42.39;41;Appartement;77118
11795;39;B;AV;DES ETATS UNIS;3;74.14;72;Appartement;77182
11796;6;;RUE;DE BOUGAINVILLE;4;74.95;80;Appartement;77217
11797;1;;RUE;JACQUES CARTIER;1;39.0;39;Appartement;77249
11798;13;;RUE;NEUVE;2;39.0;39;Appartement;77251
11799;57;;RUE;DE LA TOUR D'AUVERGNE;1;40.85;42;Appartement;77258
11800;6;;ALL;DU HARAS;4;86.02;86;Appartement;77258
11801;39;;RUE;DU COMMANDANT BERGE;2;40.2;40;Appartement;77284
11802;172;;AV;MAURICE DAUVERGNE;1;81.1;84;Appartement;77285
11803;120;;ALL;DE PLEIN CIEL;1;14.54;15;Appartement;77285
11804;34;;RUE;DE LA CHARBONNIERE;1;21.52;22;Appartement;77307
11805;38;;RUE;DE LA CHARBONNIERE;1;21.44;22;Appartement;77307
11806;1;;RUE;DE STOCKHOLM;4;81.13;81;Appartement;77307
11807;15;;RUE;LECONTE DE LISLE;6;153.16;155;Maison;77373
11808;4;B;AV;DE FONTAINEBLEAU;2;47.69;49;Appartement;77378
11809;3;;RUE;DES LILAS;4;65.42;65;Maison;77479
11810;16;;RUE;ETIENNE JULES MAREY;3;60.08;64;Appartement;78073
11811;5000;;CHE;DU PORT;3;63.28;76;Appartement;78089
11812;4;;AV;DE LA GARE;1;17.05;18;Appartement;78168
11813;21;;RUE;PIERRE LE GUEN;4;88.76;79;Maison;78172
11814;9;;PLA;DE FRESNES;3;63.47;63;Appartement;78206
11815;6;;RUE;DE LA SOMME;3;64.72;65;Appartement;78361
11816;5;;CHE;DES GRAVIERS;4;74.25;74;Maison;78431
11817;17;;RUE;DANES DE MONTARDAT;3;74.67;74;Appartement;78551
11818;19;;RUE;DU VIEUX MARCHE;1;37.2;38;Appartement;78551
11819;10;;RUE;DU PRE ROUSSELIN;4;78.3;77;Appartement;78642
11820;12;;BD;DE LA REPUBLIQUE;3;57.16;57;Appartement;78646
11821;62;;RUE;CHAMP LAGARDE;2;38.97;39;Appartement;78646
11822;2;;RLE;DES GONDI;4;95.42;99;Appartement;78674
11823;9;;RUE;RACINE;4;73.6;85;Appartement;78686
11824;91;;RUE;D ELBEUF;4;67.1;66;Appartement;80021
11825;9062;F;RUE;DES PLATANES;3;55.1;55;Appartement;80489
11826;15;B;RUE;HENRI MARRE;5;101.65;98;Appartement;82121
11827;259;;AV;DE TOULOUSE;5;108.4;108;Maison;82190
11828;570;;CHE;NO 128  LA PIERRE MOURAOU;3;74.35;53;Appartement;83016
11829;580;;AV;DE LA MER;1;20.33;21;Appartement;83019
11830;6960;;;LES MAS DE GIGARO;3;65.66;67;Maison;83048
11831;125;;RUE;DU COMBAT;1;79.44;25;Appartement;83050
11832;536;;RUE;ALBERT EINAUDI;4;68.25;76;Appartement;83061
11833;27;;AV;GENERAL DE GAULLE;2;36.37;39;Appartement;83069
