id_vente;Date mutation;Valeur fonciere;Nature mutation;id_bien
341;2020-01-06;155000;Vente;341
342;2020-01-06;134000;Vente;342
343;2020-01-06;97000;Vente;343
344;2020-01-06;162000;Vente;344
345;2020-01-06;142200;Vente;345
346;2020-01-06;214000;Vente;346
347;2020-01-06;240000;Vente;347
348;2020-01-06;120000;Vente;348
349;2020-01-06;75200;Vente;349
350;2020-01-06;33000;Vente;350
351;2020-01-06;31000;Vente;351
352;2020-01-06;43000;Vente;352
353;2020-01-06;44950;Vente;353
354;2020-01-06;138000;Vente;354
355;2020-01-06;221300;Vente;355
356;2020-01-06;291000;Vente;356
357;2020-01-06;145000;Vente;357
358;2020-01-06;106000;Vente;358
359;2020-01-06;87000;Vente;359
360;2020-01-06;127900;Vente;360
361;2020-01-06;47000;Vente;361
362;2020-01-06;105003;Vente;362
363;2020-01-06;37000;Vente;363
364;2020-01-06;85500;Vente;364
365;2020-01-06;88000;Vente;365
366;2020-01-06;30500;Vente;366
367;2020-01-06;52381;Vente;367
368;2020-01-06;46000;Vente;368
369;2020-01-06;86000;Vente;369
370;2020-01-06;120300;Vente;370
371;2020-01-06;158500;Vente;371
372;2020-01-06;270000;Vente;372
373;2020-01-06;130000;Vente;373
374;2020-01-06;265320;Vente;374
375;2020-01-06;325000;Vente;375
376;2020-01-06;99900;Vente;376
377;2020-01-06;130000;Vente;377
378;2020-01-06;202380;Vente;378
379;2020-01-06;300000;Vente;379
380;2020-01-06;38200;Vente;380
381;2020-01-06;240000;Vente;381
382;2020-01-06;43000;Vente;382
383;2020-01-06;169000;Vente;383
384;2020-01-06;368000;Vente;384
385;2020-01-06;106574;Vente;385
386;2020-01-06;449000;Vente;386
387;2020-01-06;334450;Vente;387
388;2020-01-06;380000;Vente;388
389;2020-01-06;1829700;Vente;389
390;2020-01-06;3380000;Vente;390
391;2020-01-06;1565002;Vente;391
392;2020-01-06;800000;Vente;392
393;2020-01-06;362050;Vente;393
394;2020-01-06;482000;Vente;394
395;2020-01-06;601400;Vente;395
396;2020-01-06;506500;Vente;396
397;2020-01-06;204650;Vente;397
398;2020-01-06;1475700;Vente;398
399;2020-01-06;551800;Vente;399
400;2020-01-06;362300;Vente;400
401;2020-01-06;295700;Vente;401
402;2020-01-06;688292;Vente;402
403;2020-01-06;596650;Vente;403
404;2020-01-06;471000;Vente;404
405;2020-01-06;95000;Vente;405
406;2020-01-06;590000;Vente;406
407;2020-01-06;533000;Vente;407
408;2020-01-06;126000;Vente;408
409;2020-01-06;607500;Vente;409
410;2020-01-06;7420000;Vente;410
411;2020-01-06;328950;Vente;411
412;2020-01-06;552800;Vente;412
413;2020-01-06;343000;Vente;413
414;2020-01-06;532000;Vente;414
415;2020-01-06;1613000;Vente;415
416;2020-01-06;352500;Vente;416
417;2020-01-06;276930;Vente;417
418;2020-01-06;1188000;Vente;418
419;2020-01-06;112000;Vente;419
420;2020-01-06;403000;Vente;420
421;2020-01-06;60000;Vente;421
422;2020-01-06;124000;Vente;422
423;2020-01-06;225000;Vente;423
424;2020-01-06;185500;Vente;424
425;2020-01-06;113000;Vente;425
426;2020-01-06;45000;Vente;426
427;2020-01-06;189000;Vente;427
428;2020-01-06;145000;Vente;428
429;2020-01-06;257000;Vente;429
430;2020-01-06;175000;Vente;430
431;2020-01-06;370050;Vente;431
432;2020-01-06;128000;Vente;432
433;2020-01-06;168500;Vente;433
434;2020-01-06;582000;Vente;434
435;2020-01-06;181500;Vente;435
436;2020-01-06;240750;Vente;436
437;2020-01-06;271500;Vente;437
438;2020-01-06;102820;Vente;438
439;2020-01-06;740000;Vente;439
440;2020-01-06;54000;Vente;440
441;2020-01-06;224900;Vente;441
442;2020-01-06;90000;Vente;442
443;2020-01-06;148500;Vente;443
444;2020-01-06;372841;Vente;444
445;2020-01-06;235200;Vente;445
446;2020-01-06;80000;Vente;446
447;2020-01-06;182500;Vente;447
448;2020-01-06;103000;Vente;448
449;2020-01-06;51000;Vente;449
450;2020-01-06;134500;Vente;450
451;2020-01-06;39000;Vente;451
452;2020-01-06;168636;Vente;452
453;2020-01-06;265000;Vente;453
454;2020-01-06;134000;Vente;454
455;2020-01-06;291150;Vente;455
456;2020-01-06;377000;Vente;456
457;2020-01-06;391200;Vente;457
458;2020-01-06;476469;Vente;458
459;2020-01-06;910000;Vente;459
460;2020-01-06;186000;Vente;460
461;2020-01-06;164000;Vente;461
462;2020-01-06;185000;Vente;462
463;2020-01-06;388326;Vente;463
464;2020-01-06;606820;Vente;464
465;2020-01-06;423100;Vente;465
466;2020-01-06;518192;Vente;466
467;2020-01-06;345000;Vente;467
468;2020-01-06;335000;Vente;468
469;2020-01-06;121000;Vente;469
470;2020-01-06;380000;Vente;470
471;2020-01-06;1550000;Vente;471
472;2020-01-06;645000;Vente;472
473;2020-01-06;825750;Vente;473
474;2020-01-06;345000;Vente;474
475;2020-01-06;166000;Vente;475
476;2020-01-06;254800;Vente;476
477;2020-01-06;460000;Vente;477
478;2020-01-06;1225000;Vente;478
479;2020-01-06;354750;Vente;479
480;2020-01-06;196800;Vente;480
481;2020-01-06;156350;Vente;481
482;2020-01-06;350000;Vente;482
483;2020-01-06;644000;Vente;483
484;2020-01-06;319000;Vente;484
485;2020-01-06;160000;Vente;485
486;2020-01-06;240000;Vente;486
487;2020-01-06;435000;Vente;487
488;2020-01-06;408000;Vente;488
489;2020-01-06;153000;Vente;489
490;2020-01-06;187000;Vente;490
491;2020-01-06;420600;Vente;491
492;2020-01-06;281000;Vente;492
493;2020-01-06;168500;Vente;493
494;2020-01-06;267000;Vente;494
